DiagnosticCentreName,DiagnosticCentreAddress,CityName
"Parth Eye Hospital","1ST FLOOR, RADHE AVENUE, MANGAL PAR, BUS STOP, GITA MANDIR ROAD, AHMEDABAD - 380022.DR. JAGDISH RANA-MOB. 9814045691, PARTHEYEHOSPITAL@YAHO O.COM",Ahmedabad
"Anurag Health Care Private Ltd.","117/Q/702, Sharda Nagar, Kanpur Tel. 2584480Mob. 98895388233
Email. Anuraghealth702@gmail.com",Kanpur
"Centrapath Labs Private Limited","Flat No. 101, Omega Tower, Located at Plot No. 32, Mech. Nagar Extension, Sayaji Club Road, IDA Scheme No. 54, Vijay Nagar, Indore (M.P) - 452010",Bhopal
"Prathima Hospitals,Kukatpally","26  27 Opp Arjun Theatre KPHB main road Kukatpally  Hyderabad-500072 Tel-040 43454345  mpbile-9000006540",Hyderabad
"Adarsh Hospital, Varanasi","N-8/248 E-D, NEWADA, SUNDERPUR, (B.H.U- D.L.W. ROAD) VARANASI - 221005, UTTAR PRADESH",Prayagraj
"Uppal Neuro Hospital","4, Rani Ka Bagh, Amritsar-143001 Punjab",Chandigarh
Arogyamsuperspecialityhospital,"34, Sita Nagar, Somalwada, Wardha Road, Nagpur - 25
 Tel:- 0712-2294342/
8237138000
",Nagpur
"M/S. Precise Specialty Eye Care","Turbo Plus Tower, PMG Jn., Vikas Bhavan Post, Thiruvananthapuram :",Trivandrum
"Metroscan Advanced Diagnostic Centre, Nagpur"," Lokmat Building Wardha Road Union bank Of India Achraj Aristo, Aadivasi Gowari Shahid Uddan Pul, Dhantoli, Nagpur, Maharashtra 440012
 Ph-0712-6628666, 2450085, 
 7276136100, 7219874314",Nagpur
"North Bengal Neuro Centre Pvt Ltd","Megh Nath Saha Sarani, Pradhan Nagar, Siliguri Darjeeling - 734003",Kolkata
"Rama Hospital (A Multi Speciality Hospital) Sonipat","Sonipat Road, Bahalgarh, Sonipat Haryana, Nodal Officer Dr Aditi Jain Mob. No. 8569899736 Email Id rramahospital@gmail.com  Empanelled w.e.f.15.01.2024  ",DELHI/HQ/DIRECTORATE/MINISTRY
"Orthoplus Hospital","RZB28, Gopal Nagar, Nagafgarh, New Delhi.  Tel. No. 01128012195, 9810102908.",DELHI/HQ/DIRECTORATE/MINISTRY
"Capital Hospital","L-501, Shastri Nagar, Meerut",Meerut
"Chhatrapati Shivaji Subharti Hospital                 W.E.F. 01-05-2018","Subharti Medical College, Subhartipuram, NH-58, Delhi-Haridwar Bypass Road, Meerut Ph. No. 0121-2439127",Meerut
"Om Netra Kendra","C-108, Tagore Nagar, Near Bank of Baroda, Raipur-492001 (C.G.) Contact No. :- 0771- 3510699/700 Email: brijesh.administrator@omnetrakendra.in       ",Nagpur
"Neuropsychiatric Hospital And Anr Centre For Opiate De-Addiction","09, New Jawahar Nagar, Near Guru Amar Dass Chowk-144001",Chandigarh
"Neo Hospital","D170A, (Gautam Budh Nagar), Sector50, Noida201301. Tel. No. 01204880000.",DELHI/HQ/DIRECTORATE/MINISTRY
"M/S. K.P.M Eye Hospital, Hospital Road,",Ernakulam,Trivandrum
"Aware Global Hospitals Sagar Road Kharmanghat","8-16-1, Nagarjuna Sagar Rd, Saroornagar, Laxmi Enclave, Bhagya Nagar, Bairamalguda, Hyderabad, Telangana 500035 Tel.No.040-2411 1111, 24030444 KJR Naidu Mob 6305939608
 jagannadha.naidu@globalhospitalsindia.com",Hyderabad
"Apex Hospital Mansarovar Pvt.Ltd.,","55, Rajat Path
",Jaipur
"Asg Eye Hospital","MUKUT House, Mall Road, Amritsar-143001- Punjab
Tel: 0183-2920003, 88775029991  Email: amritsar@asgeyehospital.com",Chandigarh
"Dr. Agarwal'S Eye Hospital Yelankha",cghsmou@dragarwal.com,Bengaluru
"Nair Eye Hospital","Plot Number 14, Rd No.16, Opp Cineraj Miraj Cinema, Sec -11, New Panvel, (East), MOB NO- 7400180444
",Mumbai
"Charak Hospital","Near Safed Masjid Hardoi Road, Dubagga, Lucknow- 226003",Lucknow
"Grover Eye Laser & Ent Hospital, Chandigarh","Kothi No. 140, Sector 35A, Chandiarh",Chandigarh
"Care Hospitals (A Unit Of Quality Care India Ltd)Hitech City","Hitech City Old Mumbai Highway, Near Cyberabad Police Commissionerate, Gachibowli, Hyderabad-500032, Tel.No.040-336236999,  ",Hyderabad
"Remedy Hospitals (A Unit Of Albha Health Care Pvt., Ltd.,)","Road No.4, KPHB Colony, Kukatpally,Hyderabad-500 072 Tel.No.040-23158787      ",Hyderabad
"N.M. Wadia Institute Of Cardiology","32, Sasson Road, Pune-01",Pune
"Asg Hospital Pvt. Ltd, Siliguri"," Pranami Mandir Rd, Opp. Kejriwal Stone ",Kolkata
"Sharp Sight Eye Hospital","Baghat Chowk, Near Traffic Signal, Barzulla, Srinagar(J",Chandigarh
"Mata Roop Rani Maggo & Mahindru Hospital","C-8/9,OM Vihar,Phase-I, Metro Pillar,No.709, Uttam Nagar,New Delhi-110059.Tel. No.011-2537222/011-25372226/25372227-30",DELHI/HQ/DIRECTORATE/MINISTRY
"Vidarbha Institute Of Medical Sciences (Vims), Nagpur","188, Mohan Nagar, L.I.C. Square, Nagpur, 
Pin-440001 
vimstpa@gmail.com",Nagpur
"Sai Hospital An Unit Of Agranyai Healthcare Pvt. Ltd","Plot No. 2, Sector-30, HUDA Market, Faridabad-121003. Nodal Officer: Renu Arora, Mob. 9220445136. 
Email- saihospitalcghs0800@gmail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Jabalpur Hospital & Research Centre","Russel Chowk, Jabalpur.
Tel.No.2450761- 62",Jabalpur
"Jayram Hospital &Truma Centre","D-668, Barra-8, Kanpur. Ph.0512-2680098 8933033999
E-mail :jayramhospital@gmail.com",Kanpur
"Shushrusha Heart Care Center & Multi Speciality Hospital","Plot No.22- A, Plam Beach Road, Sector 6, Nerul, Navi Mumbai - 400706, 022-27719245
022-27719246
022-27719247
022-27719248",Mumbai
"Ganesh Hospital","IIC/3, Nehru Bazar, Ghaziabad 201001. Tel.No. 0124 279 2809. 810, 811.",DELHI/HQ/DIRECTORATE/MINISTRY
"Mallika Hospital","Sharma Estate, Next To Mina International Hotel,
 S. V. Road, Jogeshwari (W), Mumbai-400102, 022-26797171",Mumbai
"Rx Multispeciality Dental Clinic","2649, Basement, Hudson Line, GTB Nagar, Delhi. Mob. No. 9818791850.",DELHI/HQ/DIRECTORATE/MINISTRY
"Medivision Eye & Health Care Centre","10-3-304/F/1 to 4,Indira Sadan, Near NMDC, Masab Tank, Humayunnagar, Hyderabad-500 028, Tel.No.040-66368292",Hyderabad
"Eye ÂQ Vision Pvt. Ltd",,Lucknow
"32 Pearls Multispeciality Dental Clinic","C-303, 304, Ist floor, patrakarpuram, Gomti nagar, Lucknow -226010.",Lucknow
"M/S. Dr. Agarwal'S Eye, Hospital,","C No: 29/104 (2) Leelaram Building, Diamaond Hill, Vellayambalam, Thiruvananthapuram, Kerala",Trivandrum
"Kamal Hospital","KABlock, Kaushambi, Near Telephone Exchange/ Metro Station Kaushambi, Ghaziabad.  Tel. No. 09871422922",DELHI/HQ/DIRECTORATE/MINISTRY
"Handa Hospital And Heart Care Centre","Sarang Road, Near Railway Station, Sonipat -131001, Haryana 
Nodal Officer: Rakesh Handa
Mobile No. 9812040174
Email Id. handahospital@gmail.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Ahujaa Pathology And Imaging Centre","7-B, Aisley Hall, Dehradun.",Dehradun
"Baluni Hospital","Ring Road, Opposite Sathi Wedding Point Jogiwala,Dehradun",Dehradun
"Bharati Hospital & Research Center","Katraj-Dhankawadi Pune-Satara Road, Pune - 411043",Pune
"Medicover Women And Children Madhapur","Behind Cyber Towers, Plot Nos. 7, Patrika Nagar Lane,Madhapur, Hyderabad. Tel.No.040-68334455;    centrehead.mwc@medicoverhospitals.in	B. Srihari Goud     corporatepsu.hitech@medicoverhospitals.in    ",Hyderabad
"Livasa Hospital - Mohali	(A Unit Of Ivy Health And Life Scie","Sector 71, Mohali, SAS Nagar-160071 (Pb)
",Chandigarh
"Hcg Curie City Cancer Centre,Vijayawada","Dr.Sridhar Muni, 44-11-1/3,Padavala revu,Gunadala,Vijayawada-520004",Hyderabad
"Laser Sight India Pvt. Ltd. Agra","215, Manas Nagar, Bopla Road, Shahganj, Agra-282010",Lucknow
"Eye 4 U A Complete Ophthalmic Center","241, DDA SFS Flats, Sector9, Pocket1, Dwarka, New Delhi110045. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Mohan Eye Institute","11B Ganga Ram Hospital Marg, New Delhi. 25787655.",DELHI/HQ/DIRECTORATE/MINISTRY
"Advance Diagnostic Centre","67, Hargobind Enclave, Delhi110092. Tel. No. 01142208475",DELHI/HQ/DIRECTORATE/MINISTRY
"Global Eye Clinic","305-306 Shop Zone Apt. Above Colors Showroom, Near BOI, M.G. Road Ghatkopar (W)- 400086, 022-25127744 / 25127755/25127766",Mumbai
"Krishna Dental Clinic","RZP1, RajnagarII, Near Malaria Research Institute, Main Dada Dev Road, Sec8, Dwarka, New Delhi110077.  ",DELHI/HQ/DIRECTORATE/MINISTRY
"Fortis Hospitals Limited","730-Anandpur, E.M. Bypass, Kolkata - 700 107 ",Kolkata
"Vivekananda Polyclinic","Vivekananda Puram Lucknow- 226007.
Ph: 0522-2321277, 2329624
",Lucknow
"Taurus Hospital (A Unit Of Taurus Medicare Pvt Ltd.)","208,SATIPUR 1ST RAMADEVI,
KANPUR-208007",Kanpur
"Jain Hospital And Research Centre, Vasundhra, Ghaziabad","Jain Hospital and Research Centre, 14A/636, Vasundhra, Ghaziabad, Nodal Officer: Dr. P. K. Jain, Mob. 9810070637,  Email:  jainhospitalvasundhara@yahoo.co.in",DELHI/HQ/DIRECTORATE/MINISTRY
"Regency Renal Sciences Centre","Regency Renal Sciences Centre 113/104-A Opp. Motijheel, Swaroop Nagar, Kanpur 208002, Uttar Pradesh. ",Kanpur
"Anand Hospital,","A-1, Damodar Colony, Garh Road, Meerut Ph. No. 0121-2792000",Meerut
"Bhatia Global Hospital And Endosurgery Institute","305, 307-308, Ambica Vihar Opp. Central School, Paschim Vihar, New Delhi-110087. Tel. No. 011-25270500.
Nodal Officer: 
Mr. Rakesh Kumar
Mob. No. 9717050712
rakeshcomm21@gmail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Healthcare Global Enterprises Ltd.",hcg.cghs@hcgel.com,Bengaluru
"Shree Jagannath Hospital And Research Centre","NEAR MACHHALI GHAR OPPOSITE RAJ BHAWAN BOOTY ROAD RANCHI PIN-834001",Ranchi
"Pathkind Diagnostics Pvt. Ltd.                              W.E.F. 18-02-2020","8,9 College Road, Bachcha Park, Meerut
Tel No. 
0121-4302233
",Meerut
"Bangalore Nethralaya",bangalorenethralaya@gmail.com,Bengaluru
"Dr Agarwals  Eye Hospital. - Anna Nagar Notified On 11.03.2020","No. 31, F-Block, 2nd Avenue, Anna Nagar East, Chennai-102. Phone: 26215954, 26215944",Chennai
"Tx Hospitals","3-2-848/1 station road kachiguda hyderabad telangana,
PMJAY- Nodal Officer Name :
Mr KOTESWAR RAO YENIKE
PMJAY-Nodal Officer Number :
9866986145
Contact Person Email ID :
billing.kachiguda@txhospitals",Hyderabad
"Indriya Eye","201-A, 2nd Floor, Shree Radhey Health Heights, Opp. Hotel Centre Point, Near Lokmat Square, Ramdaspeth, Nagpur-440012",Nagpur
"Ahooja Eye & Dental Institute","560/1, Dayanand Colony, New Railway Road, Gurgaon. 01242321234.",DELHI/HQ/DIRECTORATE/MINISTRY
"Medicos Centre (A Unit Of Gp Medicos Pvt Ltd)","GP Medicos Centre Pvt Ltd, SCO 801-802, Sec 22-A, Chandigarh 160022
Ph: 9988893022",Chandigarh
"Maa Ram Pyari Super Speciality Hospital","Near RIMS, Harihar Singh Road, Opp. Bariatu Petrol Pump, Morabadi, Ranchi, Jharkhand-834009",Ranchi
"Kunal Hospitaland Critical Careand Traumacentre","Koradi main Road,
Mankapur, Nagpur-30.
Tel No. 2591770/71/72
",Nagpur
"Samishta Hospital Research Institute, Guntur","Donka Roa, Opp 4th line Arundelpet, Guntur - 522 002.Email: administration@shrihospital.com.Contact Person: Smt. Gowhar Sultana Mob: 9705366488. Nodal Officer: Sri. N. Prakash Kumar Mob: 8332833885.",Hyderabad
"Gleneagles Global Hospitals, Lakdikapul, Hyderabad","# 6-1-1070/1 to 4, Lakdikapul, Hyderabad-500 004, Tel. No.040-30644444	KJR Naidu                                  Mob 6305939608                               jagannadha.naidu@globalhospitalsindia.com",Hyderabad
"Nexus Superspeciality Dental And Implant Centre","12-A, DDA Flats, Opp. School No. 1, Mansarovar Park, Shahdara, Delhi 110032. Nodal Officer: Dr. Reema Sharma, Mob. 9953315595. Email- nexusdental@yahoo.com ",DELHI/HQ/DIRECTORATE/MINISTRY
"Surya Kiran Hospital","31, Roshan Mandi, Nagafgarh, New Delhi110043. Tel. No. 01125322335",DELHI/HQ/DIRECTORATE/MINISTRY
"Paramount Charity Trust","Paramount Complex, Gotri Rd, NatubhaiNatubhai, Circle, Race Course Rd, West, Vadodara, Gujarat 390007 Tel. No. 0265
 2395772,
 6352731483,
 9099066029
 e-mail id paramountcharity trust@gmail.com",Ahmedabad
"The Deccan Hospital (A Unit Of Park Health System Pvt.,Ltd.,)","# 6-3-903/A&B, Somajiguda, Hyderabad-500082, Tel.No.040-23410640   ",Hyderabad
"Gayatri Multispeciality Hospital","Plot no.-17, 121, Manak Vihar, Patel Nagar, Bhopal, Madhya Pradesh 462022",Bhopal
"M/S. Sravani Hospitals, Madhapur","# Plot No. 91-94, Guttala Begumpet, Cyber Hills, Madhapur, Hyderabad-500034.
Tel. No.  :  9133501555;
Mail Id :   ipbillling@sravanihospitals.com
Contact Person   :  Sri N G Reddy 8688243343
",Hyderabad
"Nova Hospital Ltd.","Patrakarpuram Crossing Road, Vikas Khand-01, Gomtinagar, Lucknow-226010.",Lucknow
"Shitla Sahai Institute Of Medical Sciences","Cancer Hill, Mandre ki Mata Road, Lashkar, Gwalior (MP)- 474009 Mob No. 9425163830 Email Id. ssims.gwl@gamil.com",Kanpur
"Le Crest Hospital","(A Unit of Garg Heart and Multispeciality Hospital Pvt. Ltd.), Plot No. INS 13, Sector-4 (Near Budh Chowk), Vasundhara, Ghaziabad, UP-201012. Nodal Officer: Mr.Suresh Kumar, Mob. 7530861606
",DELHI/HQ/DIRECTORATE/MINISTRY
"Ayurvaid Hospital (A Division Of Kerala First Health Services Pvt. Ltd",manjunath_r@ayurvaid.com,Bengaluru
"Dental Health Clinic",drprasad.cghs@gmail.com,Bengaluru
"Gopinath Hospital Pvt. Ltd.","Sec-8, Chetak Nagar, Pratap Nagar Sanganer Jaipur",Jaipur
"Paras Hmri Hospital","Raja Bazar, Bailey Road, Patna - 800014",Patna
"Hope Hospitalsinfo@Hopehospital.Com","Plot No. 02, Behind Go
Gas Teka Naka, Kamptee
Road, Nagpur.
Tel No. 8412020400
Fax No. 0712-2432551
",Nagpur
"Mukherjee Hospital","Ward No. 11, Rajani Bagan, Hill Cart Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001",Kolkata
"Artemis Hospital","Sector 51 Gurgaon Haryana122001 Tel No. 01246767000",DELHI/HQ/DIRECTORATE/MINISTRY
"Samved Orthopaedic Hospital","3rd floor nr sopan flats on
stadium circle to commerce college six roads, NavragpuraAhmedabad.  ph no 079-26562993                           fax no 079-26562232",Ahmedabad
"Chaitanya Eye Hospital, Vijayawada","Dr.Swetha, Do.40-5-19/4,Tikkle Road,Moghalrajapuram,Sidhartha Nagar,Vijayawada-520010",Hyderabad
"Saroj Super Speciality Hospital","Sector 14 Extn. Madhuban Chowk, Rohini, New Delhi 1100085. Tel.No. 01127903333.",DELHI/HQ/DIRECTORATE/MINISTRY
"B H Salvas Hospital","Plot No. 6, and B6, Village Haibat Pura, Chandan Park, Jharoda Road, Najafgarh Delhi-110043
Nodal Officer: 
Dr Babita Rathi  
Mob. No. 9911229482
Email Id. bhsalvas@gmail.com  

",DELHI/HQ/DIRECTORATE/MINISTRY
"Krishna Super Speciality Hospital","363, Harrisganj, Near Tat Mill Chauraha, Kanpur.
Ph.0512-2320061/71/72/73 Mob. 8400300216
E-mail:  krishnasuperspecialtyhospital@rediffmail.com",Kanpur
"Hosp6p127108 Santosh Multi-Speciality Hospital","3F/139, Near Police Post-3, NIT Faridabad-121001. 
Tel. No. 0129-4100139
Nodal Officer: 
Mr. Sumit
Mob. No. 9810249105
santoshhospital2013@gmail.com

",DELHI/HQ/DIRECTORATE/MINISTRY
"Salvus Bioreserach Solutions","207-210,Earth Retail, Science city circle, Bhadaj circle, SP Ring road,Ahmedabad 380060.",Ahmedabad
"Chandra Mangal Hospital","235 khatanadi Mandore Road Jodhpur",Jaipur
"Asg Eye Hospitals","403/1, Alcove Gloria, Above Big Bazaar, Dakshindari Road, VIP Rd, near Lake Town, Sreebhumi, Kolkata, West Bengal 700048",Kolkata
"As Health Square","H1A, Main Market Road, Hauz Khas, New Delhi. Tel. No. 01145317777 ",DELHI/HQ/DIRECTORATE/MINISTRY
"Srikara Hospitals, Miyapur","Plot No.222 & 223, Mythrinagar Phase-II, Madinaguda, Miyapur, Hyderabad-500 049, Tel.No.040-47470000   ",Hyderabad
"Ub Opthalmology Llp","B6, Ashoka Niketan, New Delhi110092.",DELHI/HQ/DIRECTORATE/MINISTRY
"Asian Institute Of Oncology Pvt Ltd(Cumballa Hill Hospital)","93/95, August Kranti Marg,Kemps Corner, Mumbai 400036",Mumbai
"Muskan Dental Care","11/26, West Patel Nagar, New Delhi  110008.",DELHI/HQ/DIRECTORATE/MINISTRY
"Soni Hospital",38,Jaipur
"Apex Hospital","Batala Road, Paris Town, Amritsar-143001, Punjab",Chandigarh
"Nav Drishti Eye Center","B5/351, Yamuna Vihar, Delhi110053. Tel. No. 01122910378. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Kosmoden Dental Clinic","N.C.complex 1st floor, panchayat road, Shiv Mandir Rd, Matigara, Siliguri, West Bengal 734011",Kolkata
"Pulse Hospital","Maqbool Pura Chowk, Mehta road, Amritsar 143001",Chandigarh
"Ims And Sum Hospital","SECTOR-K8,KALINGA NAGAR, GHATRIKIA, BHUBANESWAR",Bhubaneswar
"Sunetra Eye Centre Ltd.","KC120, CBlock, Kavi Nagar, Ghaziabad.Tel. No.01204233366, ",DELHI/HQ/DIRECTORATE/MINISTRY
"Max Smart Super Speciality Hospital","Press Enclave Road, Saket,  New Delhi  110017.  Tel. No. 01126852112 , 011-71212121",DELHI/HQ/DIRECTORATE/MINISTRY
"Rane Hospital Pvt. Ltd","37 Pestom Sugar, Road No. 2, Chembur, Mumbai-400089, 022-25258404
022-25258405",Mumbai
"Khandelwal Hospital & Urology Centre","B16, East Krishna Nagar, Main Swaran Cinema Road, Delhi 110051. Tel. No. 01122094843.",DELHI/HQ/DIRECTORATE/MINISTRY
"Absolute Dental Care","H. No. 2285, Ground Floor, Sector-16, Opp. Gate No. 3, QRG Hospital, Faridabad. Nodal Officer: Dr. Saru Kumar Manchanda, Mob. 9971502751. 
Email- sarukumar@gmail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Narmada Trauma Center Pvt. Ltd.","E3/23, Arera Colony Bhopal (M.P), 0755-4040000",Bhopal
"Denasia Dental Clinic","MIG-2 In front of Ratnagiri Petrol Pump above Canara Bank Ratnagiri Bhopal- 462022 (MP), 0755-8120202052/
14",Bhopal
"Raghudeep Eye Centre Llp","Opp Gurukul tower,Gurukul Road,behind oxfornd tower ,Ahmedabad52. Mob.Digan Buch 9016171960,8980804092",Ahmedabad
"Dr Jacob’S Eye Care Hospital","Stadium Link Road, Palarivattom Kathrikadavu, Kochi, Kaloor, Ernakulam, Kerala 682017",Trivandrum
"Sacred Heart Hospital, Jalandhar","Maqsudan, GT Road Jalandhar City-144008 Punjab",Chandigarh
"Ayushman Hospital","Sector10, Dwarka, New Delhi110075. Tel. No. 9891555523",DELHI/HQ/DIRECTORATE/MINISTRY
"Goyal Dental Clinic","H. No 1367, Sec 21, Panchkula; 134112, Haryana  Mob: 9988326001
email: drrohitg_35@yahoo.com",Chandigarh
"M/S Medway Hospitals","NO 9 1ST MAIN ROAD ADJACENT TO SBI BANK UNITED INDIA COLONY KODAMBAKKAM CHENNAI 600024. PH NO 044-24734455",Chennai
"R G Stone Urology Laparoscopy Hospital","A6, Nehru Ground Neelam Bata Road, NIT, Faridabad, Tel.No.01294184 000.",DELHI/HQ/DIRECTORATE/MINISTRY
"Shalya Joint Care","B 10 Shahpura Trilanga Bhopal, 0755-9826024332",Bhopal
"Ashwini Kidneyand Dialysiscentre Privatelimited,","301-B, Neeti  Gaurav Complex, Central Bazar
Road Ramdaspeth- 440010
Phone:0712- 2448520/2420562
",Nagpur
"Sanjeevani Dental Implant","ANJANI COMPLEX, JAGDEOPATH, BAILEY ROAD, NEAR PILLAR NO -10 , PATNA-800014

Dr. Vinod Kumar
Mob- 9693412543",Patna
"Invitro Speciality Lab Pvt. Ltd.","205-210 Second floor, golden traingle, sardar patel stadium, navrangpura, ahmedabad- gujarat-380009.""Dr. Naresh Laddha-9825268948 Booking/Appointment- 8320465369

""

",Ahmedabad
"Sai Vinayak Dental And Orthodontic Centre","BH-730,GF,East Shalimar Bagh, Opp.Police Station, Delhi-110088.Tel.No.011-49031515",DELHI/HQ/DIRECTORATE/MINISTRY
"Jeevan Anmol Hospital","Mayur Vihar PhaseI, opp. Pratap Nagar, Delhi  110091. Tel. No. 01122750380, 22795237",DELHI/HQ/DIRECTORATE/MINISTRY
"Krishna Heart & General Hospital","138, Prem Niwas, Pandit T.N.Mishra Road",Jaipur
"Viveka Superspecialty Hospital","Plot No. 1A, Naik Layout, Subhash Nagar, Nagpur (M.S.)- 440022 ",Nagpur
"Krush Devine Hospital (A Unit Of Ramraj Wellness Pvt. Ltd)","Railway Raod, Dadri, Greater NOIDA- 203207 Nodal Officer: Dr. Sunil Awana, Mob. 9811364831 ",DELHI/HQ/DIRECTORATE/MINISTRY
"Capitol Hospital, Jalandhar","Jalandhar-Pathankot(Nh-44), Near Reru Chowk Jalandhar-144012-Pb",Chandigarh
"Tathastu Specialty Dental Clinic ( Kolar Road)","15 -A, Mandakini Colony gate, Kolar Main Road Bhopal, 9111007770,9111008001",Bhopal
"Dr Ashok Dhoble Clinic","Bombay Mutual Terrace, 2nd Floor,534,Sandhusrt Bridge, Mumbai-400007, 022-23636655",Mumbai
"Aster Rv Hospital",cghsblr.rv@asterhospital.com,Bengaluru
"Khanna Eye Centre","E368, Nirman Vihar, Vikas Marg, Delhi92. 22424344, 22424345.",DELHI/HQ/DIRECTORATE/MINISTRY
"Orthonova Joint","Nakkodar Road, Near Nari Niketan, Jalandhar City-144003, Punjab
Tel: 0181-5080682  Mob: 9878044646",Chandigarh
"Cygnus J. K. Hindu Hospital","Industrial Area, Rohtak Road Sonipat, 
Haryana-131001
",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr.Ramanarajus Vision Tree Superspl. Eye C C, Visakhapatnam","1-171/1/1, Sri Padmavathi  Venkata Ramana Nilayam,Visalakshni nagar, Visakhapatnam - 530043 Tel. No.0891- 4880988 visiontreeeyeaarogyasri@gmail.com
Smt. Radha 8143972923                               ",Hyderabad
"Brahmchaitanya Superspeciality Hospitl Private Limited","Bhoir Colony, In front of Tata Motors, Chinchwad, Pune-411032",Pune
"Anantwar Eye Hospital","Plot No. 500, Nari Ring Road, Powergrid Square, Nagpur-440026.
0712-6459877, 2652233, 8087993722
",Nagpur
"Balajee Hospital","Shah Arcade 3 m Near Passport Office, Rani Sati Marg, Malad East, Mumbai- 400097",Mumbai
"Dr. Paria Dental Clinic","2305-A Raja Park Rani Bagh Shakur Basti North West Delhi 110034 Tel. No. 8882820644",DELHI/HQ/DIRECTORATE/MINISTRY
"Medicover Hospitals Unit-1 Jagadamba, Visakhapatnam","18-1-3, KGH Down, Maharanipeta, Jagadamba Junction, Visakhapatnam-530 002 Tel.No.0891-3944000",Hyderabad
"Upadhyay Hospital","4-C, Daya Nagar, Shaheed Nagar Crossing Agra, U.P-282001.",Lucknow
"Max Super Speciality Hosp A Unit Of Muthoot Hospital Pvt Ltd","Plot No 1 Sector-10 Dwarka, New Delhi 110075",DELHI/HQ/DIRECTORATE/MINISTRY
"C D Global Hospital","Plot No. 897/4, Opp. Metro Pillar No. 492, Main Rohtak Road, Mundka, New Delhi-110041
Email-cdglobalhospital@gmail.com
Nodal Officer- Ajit Singh
Mob No.-9811410663/9354629558",DELHI/HQ/DIRECTORATE/MINISTRY
"Max Super Speciality Hospital A Unit Of Alexis Multispeciali","A-16, Koradi Rd., New Colony, New Mankapur Nagpur-440001 Contact No. :- 0712-7120000     Email: amalviya@alexishospital.com                                 ",Nagpur
"Kasturi Medical Center Pvt Ltd, (Lab)","5, Diamond Harbour Road, 3A Bus Stand, Joka, Kolkata 700 104",Kolkata
"Curis Hospital (A Unit Of Pushpam Care And Cure Pvt. Ltd.)","R K Puram More, Danapur Khagaul Road, Patna  801503
Dr. Rakesh Ranjan Singh (MD), 
Mob:- 9934943278
Email ID- pushpamcareandcure@gmail.com
Mr. Sujeet Kumar (Coordinator)
Mob:- 7369944144
",Patna
"Dentwin India Pvt Ltd.","Nidhi Apartment, Plot No. 03, Flat No. A-1, Shalimar Garden Ext-1, Sahibabad, Ghaziabad-201005.
Nodal Officer: Preeti Sharma,
Mob:- 9599470869
Email-dentwinindia@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Mm Diagnostics","GMD Rd, Pat Pat Sarai, Moradabad, Uttar Pradesh 244001",Meerut
"Lokmanya Hospital Pradhikaran","Sector24, PCNTDA, Tilak Road, Pradhikaran, Nigdi, Pune-44",Pune
"Pawan Hospital (A Unit Of Pawan Healthcare Pvt Ltd.)","Samaypur Road Near Sector-56, Faridabad-121004 
Tel. No. 0129-6511105.
Nodal Officer: 
Mr. Pawan Singh
Mob. No. 9354149940
pawanhospital1@gmail.com

",DELHI/HQ/DIRECTORATE/MINISTRY
"Sahyog Hospital","40, Patliputra Colony, Patna - 800013
Shivanand Dubey, 9430955477 sahyoghospitalpatna@yahoo.com",Patna
"Jyoti Dental","A-1, 5/12, Balaji Apartment, Sector-5, Opposite DAV School, Rajender Nagar, Sahibabad, Ghaziabad, Uttar Pradesh.
Nodal Officer:-Pallavi Goel,
Mob:-7827148828
Email-goelpallavi2003@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Birla Eye Hospital","180-B, Opp Zila Parishad, Trimbark Road, Nashik, Maharashtra 422001.
",Mumbai
"M/S Narayan Multi Speciality Hospital","Podrah Andul",Kolkata
"Sayal Diagnostics","Plot No. 67, Sector-12A, Dwarka, Delhi-110075.
Nodal Officer: Mr. Rajesh Kumar, 
Mob-9999224930
Email-sayaldiagnostics@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Vohra Eye Hospital","R-15, Gobind Nagar, Jagadhri Road, Ambala Cantt. 133001- Haryana
Tel: 0171-2972422  Mob: 9215142422",Chandigarh
"Karthik Netralaya Institute Of Ophthalmology Pvt Ltd",cghs.karthiknetralaya@gmail.com,Bengaluru
"Sarvdrishti Eye Hospital Pvt. Ltd.","Deepayan Near IC Honda, Rukanpura, Bailey Road, Patna - 800014  Dr. Kumar Vivek, Director, Mob No. 9811863465, Deepak Singh, CGHS/TPA, Mob No. 9264444457 patnasarvdrishtieyehospital@gmail.com",Patna
"Sudha Hospital","11-A, Jhalawar Road, New Rajeev Gandhi Nagar, Sector-A, Talwandi, Kota


",Jaipur
"Prompt And Precise Diagnostic Pvt. Ltd","297, CTH ROAD, AVADI, CHENNAI-54
044-26375700
044-26375900
",Chennai
